,Station_Id,XLONG,XLAT,SpotTime,PredTime,Direction_x,Speed_x,T2,SLP,seapre_predict,temp_predict,dir_predict,speed_predict,stationID,Time,Direction_y,Speed_y,SeaPressure,Temp
0,58265.0,121.6,32.06,2018010100,2018010112,115.92322419399444,5.618603395398959,301.27813720703125,1005.8225708007812,102120.66666666669,279.00333333333333,231.66666666666663,1.9666666666666663,58265,2018010112,110.0,1.00,102750.0,278.05
1,58265.0,121.6,32.06,2018010112,2018010112,116.34852353299524,6.570939042760261,300.99102783203125,1005.54638671875,91971.33333333331,279.46666666666664,147.33333333333334,3.2666666666666666,58265,2018010112,110.0,1.00,102750.0,278.05
2,58265.0,121.6,32.06,2018010100,2018010118,156.68597833004432,6.348547634467678,301.308349609375,1006.2535400390624,102884.33333333331,274.5933333333333,251.66666666666663,3.1666666666666665,58265,2018010118,110.0,1.00,102690.0,278.95
3,58265.0,121.6,32.06,2018010112,2018010118,155.36403679709375,6.156626276388522,301.57830810546875,1006.8414916992188,99520.66666666669,277.0133333333333,260.0,2.6333333333333333,58265,2018010118,110.0,1.00,102690.0,278.95
4,58265.0,121.6,32.06,2018010100,2018010212,195.54081300311248,10.431770677210812,301.16802978515625,1003.3289794921876,91456.33333333331,262.6016666666667,226.66666666666663,4.233333333333333,58265,2018010212,90.0,3.00,102580.0,282.05
5,58265.0,121.6,32.06,2018010112,2018010212,189.9148928228495,9.646362012966797,300.89764404296875,1003.06201171875,94928.0,253.5433333333333,179.0,4.866666666666666,58265,2018010212,90.0,3.00,102580.0,282.05
6,58265.0,121.6,32.06,2018010200,2018010212,202.12291913655272,11.35263228512394,301.08941650390625,1003.0076293945312,94826.33333333331,251.14666666666665,179.0,4.866666666666666,58265,2018010212,90.0,3.00,102580.0,282.05
7,58265.0,121.6,32.06,2018010212,2018010212,204.15295942150559,13.456942180189252,301.0121154785156,1002.1735229492188,84606.66666666669,261.195,150.33333333333334,3.849789397240378,58265,2018010212,90.0,3.00,102580.0,282.05
8,58265.0,121.6,32.06,2018010100,2018010218,198.1011267026522,11.992930610814836,300.4976806640625,1004.565185546875,98107.33333333331,286.68666666666667,181.66666666666663,2.933333333333333,58265,2018010218,40.0,5.00,102840.0,281.05
9,58265.0,121.6,32.06,2018010112,2018010218,211.88492461228,13.138976489884787,300.55078125,1002.4427490234376,74362.66666666669,259.1116666666666,215.3333333333333,3.433333333333333,58265,2018010218,40.0,5.00,102840.0,281.05
10,58265.0,121.6,32.06,2018010200,2018010218,196.27807871419185,11.149506520161138,301.2653503417969,1002.336181640625,94813.66666666669,272.26,190.3333333333333,4.133333333333334,58265,2018010218,40.0,5.00,102840.0,281.05
11,58265.0,121.6,32.06,2018010212,2018010218,183.2103376733496,10.826413594579027,301.45587158203125,1002.2982788085938,98207.66666666669,261.3183333333334,179.66666666666663,3.6666666666666665,58265,2018010218,40.0,5.00,102840.0,281.05
12,58265.0,121.6,32.06,2018010100,2018010312,214.9895389068974,15.127070674747634,300.5503234863281,1000.5807495117188,77755.0,259.3483333333333,233.0,4.9,58265,2018010312,70.0,4.00,103160.0,277.85
13,58265.0,121.6,32.06,2018010112,2018010312,234.97376580960247,12.633745255330679,301.06561279296875,999.9613037109376,84659.0,260.83833333333337,209.3333333333333,4.933333333333334,58265,2018010312,70.0,4.00,103160.0,277.85
14,58265.0,121.6,32.06,2018010200,2018010312,244.38600367700718,13.128142963671374,300.4607238769531,999.7230224609376,77824.0,260.1583333333333,182.3333333333333,4.733333333333333,58265,2018010312,70.0,4.00,103160.0,277.85
15,58265.0,121.6,32.06,2018010212,2018010312,231.2497128320341,14.76029914950356,300.9156799316406,999.712646484375,84792.33333333331,259.6716666666667,254.3333333333333,5.066666666666666,58265,2018010312,70.0,4.00,103160.0,277.85
16,58265.0,121.6,32.06,2018010300,2018010312,195.7855118890285,5.840376394767928,301.2579345703125,1002.083984375,101247.66666666669,275.49666666666667,230.66666666666663,4.466666666666667,58265,2018010312,70.0,4.00,103160.0,277.85
17,58265.0,121.6,32.06,2018010312,2018010312,192.58586146750062,10.142360625696682,301.10894775390625,1001.2675170898438,84494.33333333331,261.7216666666667,135.0,3.8164560639070446,58265,2018010312,70.0,4.00,103160.0,277.85
18,58265.0,121.6,32.06,2018010100,2018010318,230.9740344564828,16.050547062980552,300.217529296875,1002.3240356445312,77747.33333333331,248.96,208.3333333333333,3.6,58265,2018010318,20.0,6.00,103090.0,276.55
19,58265.0,121.6,32.06,2018010112,2018010318,226.3085715716803,13.787509437487113,301.1203308105469,1001.9199829101562,84729.0,259.99833333333333,208.3333333333333,3.966666666666667,58265,2018010318,20.0,6.00,103090.0,276.55
20,58265.0,121.6,32.06,2018010200,2018010318,257.2850717048045,15.526227202580385,300.17584228515625,1000.525390625,77742.0,258.4183333333333,189.0,3.7666666666666666,58265,2018010318,20.0,6.00,103090.0,276.55
21,58265.0,121.6,32.06,2018010212,2018010318,259.80598491430817,14.82895224521667,299.8487548828125,1000.7933349609376,77710.33333333331,258.4183333333333,216.3333333333333,3.6,58265,2018010318,20.0,6.00,103090.0,276.55
22,58265.0,121.6,32.06,2018010300,2018010318,240.9402227258245,10.602861529311406,299.6953125,1002.6546630859376,84347.33333333331,282.70166666666665,238.3333333333333,3.3666666666666667,58265,2018010318,20.0,6.00,103090.0,276.55
23,58265.0,121.6,32.06,2018010312,2018010318,210.851036412146,5.7037231905385015,300.9911193847656,1003.1323852539062,98525.33333333331,272.9433333333334,229.3333333333333,3.333333333333333,58265,2018010318,20.0,6.00,103090.0,276.55
