,direction,speed
319,200.0,1.0
320,290.0,4.0
321,20.0,3.0
322,110.0,2.0
323,270.0,5.0
324,290.0,1.0
325,290.0,3.0
326,270.0,2.0
327,320.0,1.0
328,230.0,3.0
329,270.0,1.0
330,50.0,3.0
331,360.0,2.0
332,290.0,1.0
333,200.0,3.0
334,40.0,2.0
335,200.0,2.0
336,90.0,3.0
337,360.0,1.0
338,50.0,7.0
339,160.0,2.0
340,270.0,1.0
341,50.0,4.0
342,270.0,3.0
343,90.0,1.0
344,90.0,2.0
345,140.0,3.0
346,250.0,2.0
347,90.0,1.0
348,320.0,2.0
349,360.0,1.0
350,20.0,1.0
351,250.0,2.0
352,360.0,3.0
353,220.0,4.0
354,290.0,2.0
355,50.0,2.0
356,50.0,3.0
357,250.0,2.0
358,290.0,6.0
359,230.0,5.0
360,50.0,1.0
361,270.0,2.0
362,290.0,2.0
363,270.0,4.0
364,340.0,3.0
365,270.0,1.0
366,270.0,3.0
367,90.0,2.0
368,250.0,9.0
369,90.0,1.0
370,140.0,1.0
371,320.0,2.0
372,50.0,3.0
373,250.0,2.0
374,70.0,2.0
375,40.0,1.0
376,140.0,3.0
377,320.0,3.0
378,250.0,4.0
379,250.0,7.0
380,320.0,2.0
381,250.0,2.0
382,230.0,1.0
383,140.0,2.0
384,180.0,1.0
385,230.0,7.0
386,290.0,3.0
387,90.0,2.0
388,290.0,1.0
389,290.0,4.0
390,70.0,2.0
391,50.0,3.0
392,290.0,1.0
393,50.0,1.0
394,320.0,1.0
395,230.0,8.0
396,220.0,2.0
397,140.0,4.0
398,340.0,1.0
399,180.0,1.0
400,250.0,7.0
401,360.0,3.0
402,140.0,1.0
403,320.0,2.0
404,290.0,2.0
405,270.0,3.0
406,90.0,3.0
407,250.0,2.0
408,230.0,2.0
409,270.0,1.0
410,50.0,2.0
411,140.0,3.0
412,180.0,2.0
413,160.0,3.0
414,140.0,2.0
415,230.0,4.0
416,270.0,2.0
417,360.0,1.0
418,320.0,1.0
419,20.0,2.0
420,140.0,2.0
421,320.0,2.0
422,90.0,2.0
423,180.0,2.0
424,230.0,2.0
425,230.0,4.0
426,140.0,2.0
427,70.0,1.0
428,360.0,2.0
429,20.0,1.0
430,70.0,1.0
431,320.0,3.0
432,340.0,1.0
433,360.0,2.0
434,270.0,2.0
435,290.0,2.0
436,90.0,2.0
437,180.0,1.0
438,220.0,6.0
439,250.0,7.0
440,250.0,9.0
441,270.0,1.0
442,270.0,1.0
443,270.0,1.0
444,230.0,10.0
445,220.0,1.0
446,250.0,2.0
447,180.0,1.0
448,320.0,5.0
449,360.0,2.0
450,230.0,10.0
451,250.0,6.0
452,230.0,1.0
453,320.0,2.0
454,70.0,1.0
455,90.0,3.0
456,360.0,2.0
457,140.0,3.0
458,230.0,5.0
459,220.0,2.0
460,180.0,3.0
461,140.0,3.0
462,270.0,1.0
463,40.0,2.0
464,180.0,2.0
465,360.0,2.0
466,340.0,1.0
467,110.0,2.0
468,230.0,3.0
469,140.0,2.0
470,220.0,1.0
471,140.0,2.0
472,40.0,3.0
473,320.0,2.0
474,140.0,1.0
475,110.0,2.0
476,110.0,2.0
477,320.0,2.0
478,110.0,4.0
479,50.0,2.0
480,320.0,1.0
481,270.0,6.0
482,160.0,3.0
483,180.0,2.0
484,50.0,1.0
485,70.0,1.0
486,50.0,4.0
487,360.0,2.0
488,360.0,2.0
489,180.0,1.0
490,290.0,2.0
491,340.0,2.0
492,250.0,8.0
493,320.0,3.0
494,250.0,2.0
495,270.0,2.0
496,270.0,1.0
497,270.0,4.0
498,50.0,2.0
499,140.0,2.0
500,90.0,1.0
501,320.0,1.0
502,320.0,3.0
503,320.0,2.0
504,110.0,3.0
505,20.0,6.0
506,270.0,1.0
507,290.0,3.0
508,320.0,4.0
509,180.0,2.0
510,220.0,1.0
511,110.0,2.0
512,110.0,3.0
513,50.0,1.0
514,180.0,1.0
515,50.0,1.0
516,320.0,1.0
517,140.0,1.0
518,250.0,2.0
519,90.0,2.0
520,270.0,2.0
521,50.0,3.0
522,360.0,1.0
523,200.0,1.0
524,160.0,1.0
525,320.0,1.0
526,290.0,2.0
527,250.0,7.0
528,250.0,2.0
529,140.0,4.0
530,230.0,2.0
531,220.0,3.0
532,70.0,2.0
533,360.0,2.0
534,230.0,1.0
535,320.0,3.0
536,230.0,6.0
537,90.0,1.0
538,360.0,3.0
539,90.0,3.0
540,340.0,1.0
541,320.0,2.0
542,230.0,2.0
543,110.0,1.0
544,250.0,4.0
545,250.0,9.0
546,220.0,2.0
547,160.0,2.0
548,40.0,1.0
549,320.0,1.0
550,90.0,3.0
551,320.0,1.0
