,Station_Id,XLONG,XLAT,SpotTime,PredTime,direction_wrf_10_4,speed_wrf_10_4,direction_gts_10_4,speed_gts_10_4,direction_new_10_4,speed_new_10_4,direction_wrf_15_4,speed_wrf_15_4,direction_gts_15_4,speed_gts_15_4,direction_new_15_4,speed_new_15_4,direction_wrf_10_6,speed_wrf_10_6,direction_gts_10_6,speed_gts_10_6,direction_new_10_6,speed_new_10_6,direction_wrf_15_6,speed_wrf_15_6,direction_gts_15_6,speed_gts_15_6,direction_new_15_6,speed_new_15_6
0,48803,103.96,22.5,2013042812,2013042918,333.12331689999996,1.015980951,320,2,236.495710574936,1.928529287429276,333.12331689999996,1.015980951,320,2,237.77612294819352,1.9079546533480243,333.12331689999996,1.015980951,320,2,227.59700348143565,1.865393856875971,333.12331689999996,1.015980951,320,2,232.704492354,1.8687679766647867
1,48803,103.96,22.5,2013110212,2013110706,110.1654297,2.8470972310000002,160,4,168.9576602694259,2.247332686932074,110.1654297,2.8470972310000002,160,4,166.9646944212741,2.2546023483444224,110.1654297,2.8470972310000002,160,4,153.65160940144798,2.10820243500075,110.1654297,2.8470972310000002,160,4,155.10004344150954,2.099413172722778
2,56778,102.68,25.01,2013120700,2013121100,157.8401339,1.9247524059999999,110,1,168.9576602694259,1.8591462565736827,157.8401339,1.9247524059999999,110,1,170.24080496290566,1.8616992994442951,157.8401339,1.9247524059999999,110,1,180.48462159195773,1.6474282846621366,157.8401339,1.9247524059999999,110,1,181.28568370349757,1.6152282185743263
3,48917,103.96,10.21,2013061400,2013061500,249.2210758,9.886710727999999,50,2,272.19358170530046,5.471090887844564,249.2210758,9.886710727999999,50,2,272.0857150652899,5.382317582041102,249.2210758,9.886710727999999,50,2,246.2609471286708,4.392055607016514,249.2210758,9.886710727999999,50,2,246.42817257091062,4.247197384715182
4,48806,103.9,21.33,2013112312,2013112800,166.8045549,3.668577322,140,6,172.31273249842778,2.374184689911295,166.8045549,3.668577322,140,6,169.2014092406087,2.3627794991078246,166.8045549,3.668577322,140,6,154.92158802259263,2.7811162737146167,166.8045549,3.668577322,140,6,155.94669585560595,2.9524045020104195
5,56778,102.68,25.01,2013100712,2013101012,110.6447435,3.682202357,340,1,168.9576602694259,1.8591462565736827,110.6447435,3.682202357,340,1,166.9646944212741,1.883184141391514,110.6447435,3.682202357,340,1,176.36223379545964,1.7774985995201558,110.6447435,3.682202357,340,1,173.73140875222347,1.8023018973867375
6,56778,102.68,25.01,2013050612,2013051112,238.3339102,7.899469602000001,20,3,223.63755431943565,2.693317365781432,238.3339102,7.899469602000001,20,3,224.12963475900702,2.730447850643064,238.3339102,7.899469602000001,20,3,217.44990633640677,2.650732373467729,238.3339102,7.899469602000001,20,3,220.10641691938048,2.6676725236704906
7,48917,103.96,10.21,2013061212,2013061212,291.3514488,4.091301537,250,4,191.27196672972602,2.2178755050632595,291.3514488,4.091301537,250,4,193.4177490130737,2.184785928445948,291.3514488,4.091301537,250,4,203.75399384074782,3.0836222724059694,291.3514488,4.091301537,250,4,203.33822778508193,2.9515908322889204
8,48916,103.46,9.28,2013120512,2013120600,74.23076856,7.186890984,50,2,75.36036045367464,2.2266832216239743,74.23076856,7.186890984,50,2,70.05461066981299,2.2728081097223813,74.23076856,7.186890984,50,2,72.0202848105441,2.2908345024936914,74.23076856,7.186890984,50,2,65.21361909336638,2.3084075539207634
9,48802,103.82,22.35,2013102112,2013102306,85.53519069,5.693378227999999,140,1,154.8930325725452,2.1656696984309596,85.53519069,5.693378227999999,140,1,155.87477247479882,2.160912983514428,85.53519069,5.693378227999999,140,1,147.81045544788762,2.0078508251570835,85.53519069,5.693378227999999,140,1,145.28881184184877,2.0281614576040807
