,stationID,LONG,LAT,dist
5896,54851,120.48,36.86,0.654906163
5147,54852,120.73,36.96,0.667517251
5545,54848,119.41,35.98,0.30969447
6230,54940,119.2,35.75,0.380694484
6601,54846,119.71,36.38,0.65469445
5898,54939,118.83,35.25,0.573844571
534,54936,118.83,35.58,0.608677906
411,54436,118.95,40.4,0.664454073
5253,54452,119.81,40.8,0.877720757
6610,54778,122.38,37.16,0.116872212
337,54776,122.68,37.4,0.231472191
6225,54871,122.43,36.86,0.402205544
5986,58356,120.95,31.41,0.227685948
129,59316,116.68,23.4,0.002835263
5239,59319,116.76,23.46,0.017713039
5244,59318,116.58,23.26,0.019513043
5825,59312,116.63,23.66,0.101124153
5238,59324,117.03,23.43,0.123163033
6643,59315,116.38,23.56,0.140568603
5579,59313,116.98,23.68,0.195301923
550,59317,116.3,23.03,0.252040827
6642,59314,116.16,23.3,0.281979719
130,59644,109.13,21.45,0.004365582
5786,59640,109.18,21.66,0.039010023
677,59647,109.1,21.03,0.212848915
494,59632,108.61,21.95,0.429910076
5583,59635,108.35,21.61,0.544265652
6662,59631,108.35,21.78,0.61368232
6569,59448,109.55,22.26,0.814348883
551,59446,109.3,22.41,0.894126684
113,48838,107.97,21.52,1.228637907
555,59626,107.96,21.53,1.251582353
147,59758,110.35,20.03,0.005306564
5805,59757,110.36,20,0.008523231
557,59754,110.16,20.33,0.096339882
6709,59851,110.33,19.7,0.120356565
6495,59843,110,19.73,0.17547321
6494,59842,109.68,19.9,0.378467631
6259,59856,110.75,19.61,0.410006594
5373,59854,110.1,19.36,0.498367664
495,59855,110.46,19.23,0.694062134
366,59845,109.58,19.51,0.771817628
2849,96745,106.83,-6.18,0.008577778
2796,96749,106.65,-6.11,0.010544444
2848,96741,106.86,-6.1,0.013211111
2847,96739,106.65,-6.23,0.019344445
2850,96751,106.93,-6.7,0.353511111
2846,96737,106.13,-6.11,0.384944444
52508,97016,125.18,1.43,0.000411111
2801,97014,124.91,1.53,0.093444445
52507,97008,125.46,3.58,4.675777779
4310,48657,103.22,3.62,0.045077778
55130,48674,103.83,2.45,2.148677779
52531,48618,103.1,5.38,2.48401111
4309,48650,101.65,3.1,3.236111112
4311,48665,102.25,2.26,3.525711112
7693,48071,93.55,19.41,0.000822222
642,48062,92.88,20.13,0.956855565
644,48080,94.35,18.46,1.560988877
7694,48077,95.21,18.79,3.114422207
7802,48045,93.95,21.38,3.936455566
7699,48048,94.91,21.2,4.925655558
7701,48087,95.41,17.66,6.542588865
7762,41992,91.93,21.43,6.66535558
640,48053,95.83,20.83,7.07335555
7695,48094,94.76,16.76,8.57075553
12358,48983,103.48,10.63,2.22E-05
94,48917,103.96,10.21,0.406422251
12359,48985,104.21,10.61,0.528588937
4500,48501,102.88,11.76,1.633388856
98,48916,103.46,9.28,1.832055545
2727,48991,104.85,11.55,2.708055653
1467,41756,61.8,25.06,0.1717
7374,41759,63.48,25.26,1.6677
7761,41978,91.81,22.26,0.011477778
7763,41943,91.41,23.03,0.592111107
38369,41960,90.33,22.33,2.162244445
7764,41950,90.36,22.75,2.220544442
901,42724,91.25,23.88,2.592677768
38367,41915,91.73,24.3,3.742677765
7759,41923,90.38,23.76,3.957777768
38368,41929,89.85,23.6,5.323611103
6864,43466,79.86,6.9,0.000322222
1102,43467,79.88,6.81,0.011555556
12334,43450,79.88,7.16,0.059388889
6813,43486,80.4,6.68,0.340455552
6809,43441,80.36,7.46,0.538588885
1103,43497,81.13,6.11,0.008222222
1276,41316,54.08,17.03,0.0013
4903,41312,53.91,16.9,0.0461
4905,41315,54.08,17.25,0.0629
4904,41314,54.01,17.66,0.4437
3001,62332,32.23,31.28,0.003522223
7971,62440,32.25,30.6,0.401388885
7381,41480,45.03,12.83,0.008577778
4509,48457,100.6,13.38,0.101622232
4497,48460,100.8,13.16,0.106155577
4510,48463,100.88,13.08,0.157355582
4498,48461,100.86,12.91,0.171922246
4482,48465,100.06,13.15,0.183655528
4481,48459,100.98,13.36,0.323222257
4508,48454,100.56,13.7,0.386155565
4465,48477,100.98,12.68,0.409355586
1017,48455,100.5,13.73,0.418455561
52529,48602,100.38,5.46,0.002777778
4305,48601,100.26,5.3,0.021711111
85,48855,108.18,16.03,0.002688892
87,48852,107.68,16.4,0.399122256
88,48863,108.78,15.13,1.194688858
7666,48952,106.42,15.68,3.377522345
6780,48957,106.83,14.8,3.52728899
107,48866,108,13.98,4.401122251
86,48848,106.6,17.48,4.611122321
91,48870,109.21,13.76,6.307422171
245,59948,109.51,18.23,6.352722122
7736,98425,120.98,14.58,0.000188888
7645,98430,121.01,14.63,0.004055553
804,98429,121,14.51,0.006488886
7739,98428,120.91,14.5,0.010155559
7741,98433,121.36,14.56,0.155255529
7740,98432,121.05,14.08,0.26028888
7742,98434,121.65,14.75,0.494722178
7734,98327,120.56,15.16,0.497922253
7737,98426,120.26,14.8,0.546322271
7738,98427,121.58,14.03,0.682355511
7649,98646,123.96,10.3,0.003877778
7751,98644,123.85,9.6,0.46944444
7752,98648,124.83,10.13,0.88841111
7750,98642,123.3,9.3,1.326944438
808,98550,125,11.25,2.144444451
988,98653,125.5,9.8,2.793611108
7745,98538,122.75,11.58,3.003844453
7650,98741,123.35,8.6,3.1361111
7747,98548,124.88,11.78,3.200411121
7690,48097,96.16,16.76,0.0017
7803,48095,95.65,16.73,0.2549
7702,48103,97.61,16.5,2.2216
7696,48099,97.66,16.75,2.2826
643,48078,96.46,18.91,4.5482
6781,48325,97.93,18.16,5.018
1011,48375,98.55,16.66,5.7796
1652,96315,114.93,4.93,0.001355558
4315,96465,115.25,5.3,0.214722204
52512,97320,124.56,-8.21,1.18658882
907,43003,72.85,19.11,0.031211112
909,43063,73.85,18.53,1.162677775
7619,42921,73.78,20,2.002677785
19009,63125,43.15,11.55,0.002777778
7310,43555,73.53,4.19,0.004055555
7308,43577,73.5,1.88,5.306455554
7309,43533,73.16,6.73,6.579555559
7376,41216,54.46,24.43,0.006277778
7377,41217,54.65,24.43,0.071511113
7378,41218,55.6,24.26,1.516377786
1274,41194,55.33,25.25,1.536177784
4949,40858,50.83,28.98,0.000875386
4998,40857,50.85,28.95,0.004164275
7937,40845,50.26,29.26,0.380714273
7446,40691,48.5,29.98,0.000455556
5039,40568,48.36,29.78,0.050055556
5038,40552,48.1,30,0.148055553
4957,40831,48.25,30.36,0.209155551
5045,40588,48.28,29.46,0.298055558
5042,40581,48.05,29.33,0.593122224
4118,41170,51.56,25.25,4.44E-05
4575,41150,50.65,26.26,1.860377784
5027,40416,50.16,26.26,2.99881112
