Unnamed: 0,sta_lon,sta_lat,ilon,ilat,mesh_lon,mesh_lat,dist
234562,121.7,39.08,220,423,121.713104,37.207423999999996,3.5067125905920085
234561,121.7,39.08,219,423,121.596985,37.207423999999996,3.5171529660010084
234563,121.7,39.08,221,423,121.829254,37.207423999999996,3.523247472292009
234560,121.7,39.08,218,423,121.480896,37.207423999999996,3.554547438592009
234561,121.63,38.9,219,423,121.596985,37.207423999999996,2.865903506001008
234562,121.63,38.9,220,423,121.713104,37.207423999999996,2.8717197905920093
234560,121.63,38.9,218,423,121.480896,37.207423999999996,2.8870455185920068
234563,121.63,38.9,221,423,121.829254,37.207423999999996,2.9045156722920127
234564,121.96,39.4,222,423,121.945435,37.207423999999996,4.807601655001011
234565,121.96,39.4,223,423,122.061646,37.207423999999996,4.817721425092011
234563,121.96,39.4,221,423,121.829254,37.207423999999996,4.824484032292008
234566,121.96,39.4,224,423,122.17788999999999,37.207423999999996,4.8548655678760095
234568,122.36,39.41,226,423,122.41046000000001,37.207423999999996,4.8538872473760035
234567,122.36,39.41,225,423,122.29416,37.207423999999996,4.855675941376002
234569,122.36,39.41,227,423,122.526794,37.207423999999996,4.8791612742120005
234566,122.36,39.41,224,423,122.17788999999999,37.207423999999996,4.884505087876005
234565,122.01,39.63,223,423,122.061646,37.207423999999996,5.871541785092031
234564,122.01,39.63,222,423,121.945435,37.207423999999996,5.873043115001032
234566,122.01,39.63,224,423,122.17788999999999,37.207423999999996,5.897061527876027
234563,122.01,39.63,221,423,121.829254,37.207423999999996,5.901543592292032
234558,121.23,38.81,216,423,121.24881,37.207423999999996,2.56860365187602
234557,121.23,38.81,215,423,121.13281,37.207423999999996,2.577695731876019
234559,121.23,38.81,217,423,121.36483999999999,37.207423999999996,2.586431661376015
234556,121.23,38.81,214,423,121.016846,37.207423999999996,2.613684463492021
234569,122.58,39.26,227,423,122.526794,37.207423999999996,4.215899114212009
234570,122.58,39.26,228,423,122.64313,37.207423999999996,4.217053632676008
234568,122.58,39.26,226,423,122.41046000000001,37.207423999999996,4.241812047376003
234571,122.58,39.26,229,423,122.75952,37.207423999999996,4.245295666176007
234573,122.95,39.71,231,423,122.99237,37.207423999999996,6.264681852676023
234572,122.95,39.71,230,423,122.87591599999999,37.207423999999996,6.268375074832026
234574,122.95,39.71,232,423,123.10882600000001,37.207423999999996,6.288112334052025
234571,122.95,39.71,229,423,122.75952,37.207423999999996,6.299169266176027
234575,123.28,40.28,233,423,123.22531000000001,37.207423999999996,9.443714271876031
234576,123.28,40.28,234,423,123.3418,37.207423999999996,9.444542515776032
234574,123.28,40.28,232,423,123.10882600000001,37.207423999999996,9.470023814052029
234577,123.28,40.28,235,423,123.45833999999999,37.207423999999996,9.472528431376029
234566,122.15,40.16,224,423,122.17788999999999,37.207423999999996,8.718482887876002
234565,122.15,40.16,223,423,122.061646,37.207423999999996,8.725511465092005
234567,122.15,40.16,225,423,122.29416,37.207423999999996,8.738487141376003
234564,122.15,40.16,222,423,121.945435,37.207423999999996,8.759551875001003
234567,122.35,40.41,225,423,122.29416,37.207423999999996,10.259611141376002
234568,122.35,40.41,226,423,122.41046000000001,37.207423999999996,10.260148447376006
234566,122.35,40.41,224,423,122.17788999999999,37.207423999999996,10.286114887876005
234569,122.35,40.41,227,423,122.526794,37.207423999999996,10.287749154212003
234569,122.48,40.61,227,423,122.526794,37.207423999999996,11.579713114212021
234568,122.48,40.61,226,423,122.41046000000001,37.207423999999996,11.58235924737602
234570,122.48,40.61,228,423,122.64313,37.207423999999996,11.60413483267602
234567,122.48,40.61,225,423,122.29416,37.207423999999996,11.612059941376023
234567,122.26,40.66,225,423,122.29416,37.207423999999996,11.921447941376003
234566,122.26,40.66,224,423,122.17788999999999,37.207423999999996,11.927023087876005
234568,122.26,40.66,226,423,122.41046000000001,37.207423999999996,11.942919247376006
234565,122.26,40.66,223,423,122.061646,37.207423999999996,11.959625345092007
234538,118.9,39.41,196,423,118.93576000000002,37.207423999999996,4.852619813376003
234537,118.9,39.41,195,423,118.820526,37.207423999999996,4.857657152452003
234539,118.9,39.41,197,423,119.051056,37.207423999999996,4.874158950912001
234536,118.9,39.41,194,423,118.70532,37.207423999999996,4.889241338176005
234536,118.66,39.5,194,423,118.70532,37.207423999999996,5.257958618176018
234535,118.66,39.5,193,423,118.59015,37.207423999999996,5.260783738276018
234537,118.66,39.5,195,423,118.820526,37.207423999999996,5.281673312452019
234534,118.66,39.5,192,423,118.47503999999999,37.207423999999996,5.29011491737602
234540,119.16,39.71,198,423,119.16638,37.207423999999996,6.262927340176024
234539,119.16,39.71,197,423,119.051056,37.207423999999996,6.274755430912022
234541,119.16,39.71,199,423,119.28173999999999,37.207423999999996,6.277707263376021
234538,119.16,39.71,196,423,118.93576000000002,37.207423999999996,6.313170213376015
234534,118.45,39.28,192,423,118.47503999999999,37.207423999999996,4.296198277376021
234533,118.45,39.28,191,423,118.35998500000001,37.207423999999996,4.30367397600102
234535,118.45,39.28,193,423,118.59015,37.207423999999996,4.315213298276019
234532,118.45,39.28,190,423,118.24493400000001,37.207423999999996,4.337623340132017
234536,118.75,39.73,194,423,118.70532,37.207423999999996,6.365385978176004
234537,118.75,39.73,195,423,118.820526,37.207423999999996,6.368363592452004
234535,118.75,39.73,193,423,118.59015,37.207423999999996,6.388941698276006
234538,118.75,39.73,196,423,118.93576000000002,37.207423999999996,6.39789645337601
234537,118.86,39.88,195,423,118.820526,37.207423999999996,7.144220672452035
234538,118.86,39.88,196,423,118.93576000000002,37.207423999999996,7.148402053376038
