,Station_Id,Time,Direction,Speed,MSL,T2M
0,48806.0,2017010100.0,152.87453917863996,0.9964351685865961,102145.13090732912,288.81397438558656
1,48806.0,2017010106.0,227.90889773342383,0.35584583395957853,102088.25140578028,288.92710058190653
2,48806.0,2017010112.0,143.50631612989105,1.1396100796977855,102029.09672416947,290.3795601382292
3,48806.0,2017010118.0,136.82182904947783,0.6517343577277062,102090.29906783604,289.9250352423007
4,48806.0,2017010200.0,177.2657888521689,0.5932213993627524,102035.69474634917,289.71494373484927
5,48806.0,2017010206.0,154.13520177683768,1.3669272300238813,101864.37368768408,295.35913288695707
6,48806.0,2017010212.0,109.34959696432657,1.0968218503724225,101942.18484580287,293.76526558523443
7,48806.0,2017010218.0,133.62519783323398,1.2853873861781537,102047.98071868373,291.6178879658033
8,48806.0,2017010300.0,129.5733222446869,1.0784193589027726,101995.4240592526,291.6158678551548
9,48806.0,2017010306.0,131.05430156577776,2.7210077562710655,101790.43033567056,294.2298910344058
10,48806.0,2017010312.0,106.75549157125636,1.4187931578774255,101772.91144919352,293.6299181717802
11,48806.0,2017010318.0,125.47564518070351,1.2605127512703442,101845.71721117603,290.25027305672063
12,48806.0,2017010400.0,139.22743280288205,0.9946630836369205,101798.62098389359,289.74726550522644
13,48806.0,2017010406.0,142.4042960834188,2.0265838426031895,101643.68122167457,294.43796243120863
14,48806.0,2017010412.0,354.3436253432495,1.111285149996131,101746.51936047488,291.42193723289193
15,48806.0,2017010418.0,147.81667106180524,1.3018932078230554,101786.33501155906,290.92296990269483
16,48806.0,2017010500.0,110.42722175686056,0.9572327319867556,101733.55083412174,289.99775922564925
17,48806.0,2017010506.0,275.5397223191383,0.36391663982781314,101645.72888373033,291.50274165883474
18,48806.0,2017010512.0,167.54763868966626,0.9738168163415515,101650.73427986664,290.60783264151775
19,48806.0,2017010518.0,310.11439919425715,0.3562156814885102,101640.04093357542,290.587631535032
20,48806.0,2017010600.0,191.8825909342935,0.4812320918984669,101626.61737120993,290.12300608586065
21,48806.0,2017010606.0,284.9383172223874,0.3932582627772724,101484.64613534402,291.6603102894233
22,48806.0,2017010612.0,139.02378553228465,0.4842278528494904,101470.76753696607,291.8966632353061
23,48806.0,2017010618.0,316.2571260310691,0.14633195018760237,101431.4069218943,290.5492494327092
24,48806.0,2017010700.0,323.76488420866696,0.5686227877368176,101418.21087753498,291.0017542179891
25,48806.0,2017010706.0,291.9806476284604,1.6663771355569263,101153.60743632977,297.1489509215911
26,48806.0,2017010712.0,329.99535859958735,1.517781568381409,101117.20455533851,295.67629025878267
27,48806.0,2017010718.0,350.17001291563236,0.7333009229870803,101266.00133139027,290.48864611325206
28,48806.0,2017010800.0,11.920485710829354,0.6374606853996659,101430.49684986954,287.00193513381834
29,48806.0,2017010806.0,255.52288696752868,0.8194748067533745,101197.51841152553,298.1367850287424
30,48806.0,2017010812.0,23.57363427832422,1.39969217424189,101133.13081577221,295.59548583283987
31,48806.0,2017010818.0,94.46738201831718,1.6402418626658977,101334.93928726748,290.9734726689091
32,48806.0,2017010900.0,110.54854336610236,0.7661919341524943,101443.46537622268,288.783672725858
33,48806.0,2017010906.0,221.48764495940583,0.5373197000399885,101279.652411762,295.62376738191983
34,48806.0,2017010912.0,108.69672377196696,1.7197470334886895,101215.26481600873,296.0136487370941
35,48806.0,2017010918.0,116.58459861940523,1.3580422072490161,101355.64342583127,292.78955214197464
36,48806.0,2017011000.0,118.59667938169045,1.0383205748359905,101424.12634569606,292.3713892377204
37,48806.0,2017011006.0,121.01211491355542,1.430414051306846,101364.74414607909,292.1532172876747
38,48806.0,2017011012.0,117.86229141414495,1.1540321097766106,101381.35296053132,292.35522835253175
39,48806.0,2017011018.0,120.79987370666034,1.0066457346457596,101438.23246208015,292.08049330432607
40,48806.0,2017011100.0,101.9415117315325,0.9008714530183201,101341.30979144096,292.16533795156613
41,48806.0,2017011106.0,105.4653164131218,1.0899962254382065,101224.59305426273,294.45008309510007
42,48806.0,2017011112.0,124.81728453620474,1.1956671359673299,101213.21715395297,294.28241391126863
43,48806.0,2017011118.0,98.97866310139743,1.7231998778958806,101282.15510983016,292.68046616695176
44,48806.0,2017011200.0,105.22320547526503,2.169781331107886,101262.58856129737,290.31895681877205
45,48806.0,2017011206.0,121.75577351163072,1.872809059999006,101365.19918209148,290.06846309834924
46,48806.0,2017011212.0,124.85440319663336,2.2548617864661495,101429.13174183236,288.1372373183152
47,48806.0,2017011218.0,131.71804926677805,2.2481307407196005,101616.83409694351,285.6181593395471
48,48806.0,2017011300.0,128.55204445563766,1.710487012217243,101629.12006927807,285.7413860891099
49,48806.0,2017011306.0,133.3295679751099,1.952330595913261,101471.2225729785,289.39778636302367
50,48806.0,2017011312.0,133.88135986360024,1.9514891034181558,101462.12185273068,287.9210854789181
51,48806.0,2017011318.0,134.1602638637958,1.7452786388132793,101636.17312747012,286.12924733363553
52,48806.0,2017011400.0,142.2142704183065,1.2595502557766403,101617.28913295592,286.2807556322784
53,48806.0,2017011406.0,140.68155479028266,1.3596847189422046,101525.1443404468,290.3250171507177
54,48806.0,2017011412.0,118.07681868939997,1.201299179977576,101554.494163246,289.78968782884635
55,48806.0,2017011418.0,129.06833189655228,1.2589451891476644,101740.83141032,287.7291749673039
56,48806.0,2017011500.0,130.46979516032405,1.4015045042468888,101892.35840244607,287.6988733075753
57,48806.0,2017011506.0,134.4920715854496,2.285054485604895,101785.42493953428,291.91888445244035
58,48806.0,2017011512.0,128.56952128754364,1.4224363659281853,101763.81072894573,290.3229970400692
