stationID,time,msl
48806,2014010100,102117.15603779776
48806,2014010106,101718.3094280744
48806,2014010112,101509.69207403141
48806,2014010118,101513.85128675633
48806,2014010200,101563.76183945494
48806,2014010206,101265.17414699463
48806,2014010212,101212.19891123557
48806,2014010218,101403.96050844614
48806,2014010300,101598.78678871717
48806,2014010306,101435.9207746479
48806,2014010312,101563.54293352203
48806,2014010318,101821.19521653213
48806,2014010400,102108.3998004822
48806,2014010406,101895.40432778145
48806,2014010412,101802.5882122366
48806,2014010418,101746.11048155127
48806,2014010500,101757.05577819572
48806,2014010506,101382.72663295592
48806,2014010512,101180.23864503381
48806,2014010518,101183.52223402713
48806,2014010600,101391.92068213725
48806,2014010606,101117.41264229473
48806,2014010612,101085.45237609297
48806,2014010618,101191.40284761113
48806,2014010700,101357.33354474082
48806,2014010706,101138.64651778492
48806,2014010712,101256.85572154488
48806,2014010718,101471.38353577588
48806,2014010800,101669.27449910733
48806,2014010806,101495.02537652788
48806,2014010812,101570.11011150874
48806,2014010818,101920.14069819787
48806,2014010900,102051.70316386402
48806,2014010906,101952.97658813118
48806,2014010912,101933.05614823828
48806,2014010918,102121.09634458977
48806,2014011000,102177.57407527506
48806,2014011006,101954.29002372848
48806,2014011012,101810.90663768636
48806,2014011018,102012.9568137427
48806,2014011100,102174.07158034883
48806,2014011106,101868.25999210322
48806,2014011112,101915.98148547296
48806,2014011118,102225.95228644347
48806,2014011200,102315.48481299498
48806,2014011206,102129.63367597242
48806,2014011212,102031.56381803824
48806,2014011218,102333.43509949183
48806,2014011300,102401.51484462028
48806,2014011306,102409.83327007004
48806,2014011312,102363.42521229762
48806,2014011318,102506.15188054107
48806,2014011400,102611.8834461264
48806,2014011406,102311.98231806877
48806,2014011412,102204.71841095328
48806,2014011418,102345.47492580077
48806,2014011500,102525.19669670243
48806,2014011506,102131.6038293684
48806,2014011512,102016.45930866893
48806,2014011518,102176.91735747637
48806,2014011600,102326.64901557233
48806,2014011606,102004.63838829294
48806,2014011612,101914.01133207696
48806,2014011618,102199.90248042972
48806,2014011700,102518.84842464863
48806,2014011706,102395.16657256652
48806,2014011712,102431.50495742603
